period,period_start,period_end,level,id,title,repos,merged_prs,noise_prs,integration_prs,ticket_count,dev_time_median_h,dev_time_p85_h,queue_median_h,queue_p85_h,queue_samples,tickets_reached_main_pct,tickets_via_team,tickets_on_main,tickets_multi_repo,multi_repo_pct,unjoined_ticket_pct,cycle_time_median_h,cycle_time_p85_h,cycle_time_samples,cycle_to_team_median_h,cycle_to_team_p85_h,cycle_to_team_samples,cycle_to_main_median_h,cycle_to_main_p85_h,cycle_to_main_samples,direct_to_main_pct,delivery_model,trunk_based_repos,time_to_main_median_h,time_to_main_p85_h,time_to_main_samples,time_to_main_coverage_pct,reached_main_pct,in_flight_changes,in_flight_pct,in_flight_median_age_h,in_flight_p85_age_h,on_main_undated,branch_deleted,time_to_main_unknown,lead_time_median_d,lead_time_p85_d,release_wait_median_d,shipped_changes,lead_samples,shipped_estimated_dates,shipped_untraceable,change_failure_rate_pct,corrective_changes,deployments,failed_deployments,cfr_source,defect_escape_rate_pct,escaped_defects,caught_defects,der_source,generated_at
2026-03,2026-03-01,2026-04-01,repo,cpp-context-audit2dls,cpp-context-audit2dls,1,0,0,0,0,,,,,0,,0,0,0,,,,,0,,,0,,,0,,team-branch,0,,,0,,,0,,,,0,0,0,,,,0,0,0,0,,0,,,github-corrective-prs,,0,0,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:58Z
2026-03,2026-03-01,2026-04-01,repo,cpp-context-azure-legalaidagency,cpp-context-azure-legalaidagency,1,8,0,6,8,12.9,458.7,,,0,0.0,7,0,3,37.5,37.5,2.4,23.5,8,1.9,114.1,7,2.9,2.9,1,12.5,team-branch,0,2.9,2.9,1,12.5,12.5,7,87.5,3888.7,4162.5,0,0,0,,,13.1,3,0,0,3,0.0,0,,,github-corrective-prs,,0,0,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:58Z
2026-03,2026-03-01,2026-04-01,repo,cpp-context-boxworkmanagement,cpp-context-boxworkmanagement,1,0,0,0,0,,,,,0,,0,0,0,,,,,0,,,0,,,0,,team-branch,0,,,0,,,0,,,,0,0,0,,,,0,0,0,0,,0,,,github-corrective-prs,,0,0,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:58Z
2026-03,2026-03-01,2026-04-01,repo,cpp-context-businessprocesses,cpp-context-businessprocesses,1,2,0,2,2,2187.1,3717.7,,,0,,0,0,1,50.0,0.0,15.3,25.8,2,,,0,15.3,25.8,2,100.0,team-branch,0,15.3,25.8,2,100.0,100.0,0,0.0,,,0,0,0,13.3,98.0,13.1,7,3,0,4,0.0,0,,,github-corrective-prs,,0,0,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:58Z
2026-03,2026-03-01,2026-04-01,repo,cpp-context-correspondence,cpp-context-correspondence,1,0,0,0,0,,,,,0,,0,0,0,,,,,0,,,0,,,0,,team-branch,0,,,0,,,0,,,,0,0,0,,,23.1,1,0,0,1,,0,,,github-corrective-prs,,0,0,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:58Z
2026-03,2026-03-01,2026-04-01,repo,cpp-context-defence,cpp-context-defence,1,5,0,2,4,33.5,107.5,,,0,0.0,4,0,1,25.0,25.0,1.0,20.0,5,1.0,20.0,5,,,0,0.0,team-branch,0,,,0,0.0,0.0,5,100.0,4394.2,4493.1,0,0,0,,,23.1,1,0,0,1,0.0,0,,,github-corrective-prs,,0,0,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:58Z
2026-03,2026-03-01,2026-04-01,repo,cpp-context-hearing,cpp-context-hearing,1,15,1,8,12,17.3,581.0,,,0,0.0,11,0,8,66.7,25.0,0.7,3.1,15,0.7,1.4,14,3.3,3.3,1,6.7,team-branch,0,3.3,3.3,1,6.7,6.7,14,93.3,4179.6,4391.7,0,0,0,15.0,62.7,14.3,5,3,0,2,0.0,0,,,github-corrective-prs,,0,0,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:58Z
2026-03,2026-03-01,2026-04-01,repo,cpp-context-hearing-nows,cpp-context-hearing-nows,1,1,0,3,1,561.8,561.8,,,0,0.0,1,0,0,0.0,0.0,561.8,561.8,1,561.8,561.8,1,,,0,0.0,team-branch,0,,,0,0.0,0.0,1,100.0,4429.4,4429.4,0,0,0,44.2,44.2,22.1,1,1,0,0,0.0,0,,,github-corrective-prs,,0,1,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:58Z
2026-03,2026-03-01,2026-04-01,repo,cpp-context-idam-events-consumer,cpp-context-idam-events-consumer,1,0,0,0,0,,,,,0,,0,0,0,,,,,0,,,0,,,0,,unclassified,0,,,0,,,0,,,,0,0,0,,,,0,0,0,0,,0,,,github-corrective-prs,,0,0,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:58Z
2026-03,2026-03-01,2026-04-01,repo,cpp-context-listing,cpp-context-listing,1,0,0,0,0,,,,,0,,0,0,0,,,,,0,,,0,,,0,,team-branch,0,,,0,,,0,,,,0,0,0,,,,0,0,0,0,,0,,,github-corrective-prs,,0,0,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:58Z
